X,Y,OBJECTID,FACILITY_STATUS,NAME,CAD_NAME,AKA,TYPE,UNIT,CDF_UNIT,COUNTY,OWNER,FUNDING,STAFFING,ADDRESS,CITY,ZIP,PHONE_NUM,LAT,LON
-13535388.1873,4834811.4912,322,Active,Paradise FS,BTU Paradise FS,Station 35,FSB,BTU,BTU,Butte,STATE,B,P,1464 Forest Service Rd,Paradise,95969,530-872-6318,39.78543258,-121.59046085
-13528449.9652,4852058.3573,323,Active,Stirling City FS,BTU Stirling City FS,Station 13,FSB,BTU,BTU,Butte,STATE,B,P,7882 Quartz St,Stirling City,95978,530-873-2758,39.90438585,-121.52813374
-13541686.6496,4855423.6174,324,Active,Forest Ranch FS,BTU Forest Ranch FS,Station 23,FSB,BTU,BTU,Butte,STATE,B,P,5362 Platte Mountain Rd,Forest Ranch,95942,530-895-6503,39.92757235,-121.6470409
-13551154.5562,4854864.2411,325,Active,Cohasset FS,BTU Cohasset FS,Station 22,FSB,BTU,BTU,Butte,STATE,B,P,9868 Cohasset Rd,Cohasset,95973,530-895-6504,39.92371882,-121.73209255
-13532116.5648,4877380.0008,326,Active,Butte Meadows FS,BTU Butte Meadows FS,Station 11,FSB,BTU,BTU,Butte,STATE,B,P,7288 Humboldt Rd,Butte Meadows,95942,530-873-3459,40.07865805,-121.56107137
-13618699.8929,4510731.1821,327,Active,Belmont FS,CZU Belmont FS,Station 17,FSAB,CZU,CZU,San Mateo,COUNTY,C,P,320 Paul Scannell Dr,San Mateo,94402,650-573-3842,37.51210817,-122.33886264
-13610638.8953,4493260.6203,328,Active,Sky Londa FS,CZU Sky Londa FS,Station 58,FSAB,CZU,CZU,San Mateo,COUNTY,C,P,17290 Skyline Blvd,Woodside,94062,650-851-1860,37.38751515,-122.26644946
-13625161.9444,4473957.3756,329,Active,Pescadero FS,CZU Pescadero FS,Station 59,FSAB,CZU,CZU,San Mateo,COUNTY,C,P,"1200 Pescadero Rd, P.O. Box 27",Pescadero,94060,650-879-0121,37.24961102,-122.39691223
-13606005.1349,4447113.9598,330,Active,Big Creek FS,CZU Big Creek FS,Station 33,FSB,CZU,CZU,Santa Cruz,STATE,B,P,240 Swanton Road,Davenport,95017,831-426-1664,37.05741897,-122.22482369
-13570532.8973,4454215.0043,331,Active,Burrell FS,CZU Burrell FS,Station 47,FSB,CZU,CZU,Santa Cruz,STATE,B,P,25050 Highland Way,Los Gatos,95030,408-353-1022,37.10830814,-121.90617115
-13559302.9061,4437888.5392,332,Active,Corralitos FS,CZU Corralitos FS,Station 49,FSB,CZU,CZU,Santa Cruz,STATE,B,P,120 Eureka Canyon Rd,Watsonville,95076,831-724-2446,36.99125454,-121.80529043
-13598610.3031,4459475.9391,333,Active,Jamison Creek FS,CZU Jamison Creek FS,Station 23,FSB,CZU,CZU,Santa Cruz,FIRE DISTRICT,B,P,16115 Jamison Creek Rd,Boulder Creek,95008,831-338-4422,37.14598828,-122.15839478
-13595667.4726,4475536.6604,334,Active,Saratoga Summit FS,CZU Saratoga Summit FS,Station 21,FSB,CZU,CZU,Santa Clara,STATE,B,P,12900 Skyline Blvd,Los Gatos,95030,408-867-3625,37.26090306,-122.13195888
-13574051.7051,4445630.7351,335,Temporarily Decommissioned,Soquel FS,CZU Soquel FS,Station 43,FSB,CZU,CZU,Santa Cruz,STATE,B,P,4750 Old San Jose Road,Soquel,95073,831-475-3234,37.0467852,-121.93778114
-13594574.1862,4447086.9519,336,Active,Fall Creek FS,CZU Fall Creek FS,Station 31,FSB,CZU,CZU,Santa Cruz,COUNTY,B,P,7272 Empire Grade Road,Bonny Doon,95060,831-426-3131,37.05722535,-122.12213773
-13388761.4182,4319578.4566,337,Active,Coalinga FS,FKU Coalinga FS,,FSB,FKU,FKU,Fresno,STATE,B,P,25600 West Jayne,Coalinga,93210,559-935-0756,36.1376457,-120.27329017
-13266789.4691,4394898.5052,338,Active,Sand Creek FS,FKU Sand Creek FS,,FSB,FKU,FKU,Fresno,STATE,B,P,41510  Sand Creek Rd,Squaw Valley,93675,559-338-2312,36.68217222,-119.17759751
-13308925.7794,4401898.1293,339,Active,Sanger FS,FKU Sanger FS,Fresno-Kings Ranger HQ,FSAB,FKU,FKU,Fresno,STATE,C,P,210 South Academy Ave,Sanger,93657,559-493-4384,36.732582,-119.55611443
-13271781.3793,4404237.1958,340,Active,Squaw Valley FS,FKU Squaw Valley FS,,FSB,FKU,FKU,Fresno,STATE,B,P,32515 E Kings Canyon Rd,Squaw Valley,93675,559-332-2325,36.74942005,-119.22244061
-13289536.6503,4413048.1898,341,Active,Piedra FS,FKU Piedra FS,,FSB,FKU,FKU,Fresno,STATE,B,P,6185 Elwood Rd,Sanger,93957,559-787-2444,36.81281396,-119.38193892
-13296769.4873,4433561.5662,342,Active,Blasingame FS,FKU Blasingame FS,,FSB,FKU,FKU,Fresno,STATE,B,P,23087 E Tollhouse Road,Clovis,93619,559-299-6561,36.96020163,-119.4469126
-13325713.1329,4438094.0811,343,Active,Millerton FS,FKU Millerton FS,,FSB,FKU,FKU,Fresno,STATE,B,P,4091 E Millerton Rd,Friant,93626,559-822-2389,36.99272916,-119.70691779
-13310219.7807,4441124.4156,344,Active,Hurley FS,FKU Hurley FS,,FSB,FKU,FKU,Fresno,STATE,B,P,25627 N Auberry Rd,Clovis,93619,559-855-2244,37.01446854,-119.56773864
-13281657.6475,4453846.4343,345,Active,Shaver Lake FS,FKU Shaver Lake FS,,FSB,FKU,FKU,Fresno,STATE,B,P,41640 Dinkey Creek Rd,Shaver Lake,93664,559-841-3360,37.10566747,-119.31116063
-13799378.4799,4874178.3648,346,Active,Thorn FS,HUU Thorn FS,,FSB,HUU,HUU,Humboldt,STATE,B,P,13298 Briceland-Thorn Rd,Whitethorn,95589,707-986-7553,40.05664805,-123.961926
-13780325.4684,4881374.089,347,Active,Garberville FS,HUU Garberville FS,,FSB,HUU,HUU,Humboldt,STATE,B,P,324 Alderpoint Road,Garberville,95440,707-926-2645,40.1061063,-123.79076988
-13758073.387,4893115.1825,348,Active,Alderpoint FS,HUU Alderpoint FS,,FSB,HUU,HUU,Humboldt,STATE,B,P,19545 Alderpoint Rd,Alderpoint,95511,707-926-5353,40.18672901,-123.59087604
-13818409.3501,4900601.8063,349,Active,Mattole FS,HUU Mattole FS,,FSB,HUU,HUU,Humboldt,STATE,B,P,44056 Mattole Rd,Petrolia,95558,707-629-3344,40.23808759,-124.13288321
-13795179.6393,4912791.6008,350,Active,Weott FS,HUU Weott FS,,FSB,HUU,HUU,Humboldt,STATE,B,P,370 Newton Road,Weott,95571,707-946-2215,40.32162674,-123.92420717
-13780648.4091,4934945.1934,351,Active,Bridgeville FS,HUU Bridgeville FS,,FSB,HUU,HUU,Humboldt,STATE,B,P,38737 Kneeland Road,Bridgeville,95526,707-777-3636,40.4731855,-123.79367091
-13820020.1456,4952425.7593,352,Active,Fortuna FS,HUU Fortuna FS,,FSB,HUU,HUU,Humboldt,STATE,B,P,118 S. Fortuna Blvd,Fortuna,95540-0425,707-726-1270,40.59222844,-124.14735324
-13819770.1259,5023594.9339,353,Active,Trinidad FS,HUU Trinidad FS,,FSB,HUU,HUU,Humboldt,STATE,B,P,923 Patrick'S Point Drive,Trinidad,95570,707-677-3638,41.07624426,-124.14510727
-13799070.4879,5045144.1975,354,Active,Elk Camp FS,HUU Elk Camp FS,,FSB,HUU,HUU,Humboldt,STATE,B,P,10001 Bald Hills Rd.,Orick,95555,707-499-2240,41.22201001,-123.95915926
-13802977.3989,5090090.9828,355,Active,Klamath FS,HUU Klamath FS,,FSB,HUU,HUU,Del Norte,STATE,B,P,180 Terwer Valley Road,Klamath,95548,707-482-7355,41.52500024,-123.99425564
-13825271.3324,5125828.5433,356,Active,Crescent City FS,HUU Crescent City FS,,FSB,HUU,HUU,Del Norte,STATE,B,P,1025 Highway 101 North,Crescent City,95531,707-464-5526,41.76490256,-124.19452545
-13485917.7192,5079033.4399,357,Active,Happy Camp FS,LMU Happy Camp FS,,FSB,LMU,LMU,Modoc,STATE,B,P,"County Road #84, P.O. Box 36",Bieber,96009,530-664-2850,41.45059103,-121.14606008
-13417881.1702,5085047.7368,358,Active,Alturas FS,LMU Alturas FS,,FSB,LMU,LMU,Modoc,STATE,B,P,702 East 8Th Street,Alturas,96101,530-233-2723,41.49107327,-120.53487736
-13484718.9167,5030288.018,359,Active,Bieber FS,LMU Bieber FS,,FSB,LMU,LMU,Lassen,STATE,B,P,"510 Bridge Street, P.O. Box 36",Bieber,96101,530-294-5251,41.12155275,-121.13529105
-13439137.0352,4978230.2411,360,Active,Grasshopper FS,LMU Grasshopper FS,,FSB,LMU,LMU,Lassen,STATE,B,P,515-350 Hwy 139,Susanville,96130,530-825-3144,40.76832487,-120.72582204
-13446915.3645,4944885.1629,361,Active,Eagle Lake FS,LMU Eagle Lake FS,,FSB,LMU,LMU,Lassen,STATE,B,P,490-105 Co Rd A-1,Susanville,96130,530-825-3176,40.54107638,-120.79569596
-13433650.423,4927738.082,362,Active,Susanville FS,LMU Susanville FS,,FSB,LMU,LMU,Lassen,STATE,B,P,697-345 Hwy 36,Susanville,96130,530-257-3778,40.42391687,-120.67653496
-13470669.6907,4909879.5448,363,Active,Westwood FS,LMU Westwood FS,,FSB,LMU,LMU,Lassen,STATE,B,P,3Rd St At Greenwood St,Westwood,96137,530-256-3203,40.30167896,-121.0090847
-13445212.3267,5055449.8546,364,Active,Deer Springs FS,LMU Deer Springs FS,,FSB,LMU,LMU,Modoc,STATE,B,P,Calpinesblvd @ Christopherln,Alturas,96101,530-249-7438,41.29160575,-120.78039731
-13660209.6659,4725068.7707,365,Active,Clearlake Oaks FS 40,LNU Clearlake Oaks FS,Station 40,FSB,LNU,LNU,Lake,STATE,B,P,140 Spring Rd,Clearlake Oaks,95423,707-998-3711,39.02420353,-122.71175127
-13666239.3911,4709112.3931,366,Active,Kelsey Cobb FS 34,LNU Kelsey Cobb FS,Station 34,FSB,LNU,LNU,Lake,STATE,B,P,8948 State Highway 175,Kelseyville,95451,707-279-4924,38.91255237,-122.76591721
-13650015.0506,4685684.0397,367,Active,Middletown FS 31,LNU Middletown FS,Station 31,FSB,LNU,LNU,Lake,STATE,B,P,"15522 Lake St., P.O. Box 428",Middletown,95461,707-987-3122,38.7483123,-122.62017148
-13606921.856,4655708.2624,368,Active,Spanish Flat FS 24,LNU Spanish Flat FS,Station 24,FSB,LNU,LNU,Napa,STATE,B,P,4454 Knoxville Rd,Napa,94558,707-966-2344,38.53799368,-122.23305873
-13637997.7996,4657103.2661,369,Active,St Helena FS 26,LNU St Helena FS,Sta. 26,FSAB,LNU,LNU,Napa,STATE,C,P,3535 Saint Helena Highway N,Calistoga,94515,707-967-1467,38.54749978,-122.51221868
-13627633.7523,4659183.6946,370,Active,Las Posadas FS 30,LNU Las Posadas FS,Station 30,FSB,LNU,LNU,Napa,STATE,B,P,755 Las Posadas Rd,Angwin,94508,707-965-9598,38.56303494,-122.41911686
-13610361.6181,4627323.1902,371,Active,Napa FS 25,LNU Napa FS,Station 25,FSAB,LNU,LNU,Napa,STATE,C,C,1820 Monticello Rd,Napa,94558,707-253-4940,38.33837849,-122.26395864
-13594464.6727,4626966.4937,372,Active,Gordon Valley FS 38,LNU Gordon Valley FS,Station 38,FSB,LNU,LNU,Napa,STATE,B,P,1345 Wooden Valley Cross Rd,Napa,94558,707-428-2050,38.33622364,-122.12115395
-13629440.1807,4748194.3491,373,Active,Leesville FS 36,LNU Leesville FS,Station 36,FSB,LNU,LNU,Colusa,STATE,B,P,2959 Bear Valley Rd,Williams,95987,530-473-2615,39.18537961,-122.43534428
-13620771.1632,4723382.721,374,Active,Wilbur Springs FS 35,LNU Wilbur Springs FS,Station 35,FSB,LNU,LNU,Colusa,STATE,B,P,1010 Hwy 16,Williams,95987,530-473-2630,39.01211491,-122.35746917
-13597022.3368,4684122.0926,375,Active,Brooks FS 37,LNU Brooks FS,Station 37,FSB,LNU,LNU,Yolo,STATE,B,P,"14023 Hwy 16, P.O. Box 86",Brooks,95606,530-796-3506,38.73744377,-122.14412984
-13701315.831,4652882.7352,376,Active,Cazadero FS 45,LNU Cazadero FS,Station 45,FSB,LNU,LNU,Sonoma,STATE,B,P,4600 Cazadero Hwy,Cazadero,95421,707-632-5278,38.51829671,-123.08101424
-13694251.2847,4691427.7856,377,Active,Cloverdale FS 49,LNU Cloverdale FS,Station 49,FSB,LNU,LNU,Sonoma,STATE,B,P,1001 South Cloverdale Blvd.,Cloverdale,95425,707-894-2306,38.78874962,-123.01755234
-13637859.9318,4631036.9693,378,Active,Glen Ellen FS 46,LNU Glen Ellen FS,Station 46,FSB,LNU,LNU,Sonoma,STATE,B,P,14000 Sonoma Hwy,Glen Ellen,95442,707-996-6900,38.36418409,-122.51098019
-13687420.9492,4651298.8696,379,Active,Hilton FS 43,LNU Hilton FS,Station 43,FSB,LNU,LNU,Sonoma,STATE,B,P,12604 River Road,Guerneville,95446,707-887-1770,38.50624431,-122.95619439
-13678148.2902,4672090.927,380,Active,Healdsburg FS 48,LNU Healdsburg FS,Station 48,FSB,LNU,LNU,Sonoma,STATE,B,P,17475 Redwood Hwy,Healdsburg,95448,707-433-2020,38.6534325,-122.87289668
-13685800.6025,4638269.461,381,Active,Occidental FS 42,LNU Occidental FS,Station 42,FSB,LNU,LNU,Sonoma,STATE,B,P,3100 Acreage Lane,Sebastopol,95472,707-874-3668,38.41548566,-122.94163857
-13655641.4517,4613555.0083,382,Active,Petaluma FS 47,LNU Petaluma FS,Station 47,FSB,LNU,LNU,Sonoma,STATE,B,P,655 Lorhman Lane,Petaluma,94952,707-762-6262,38.24118706,-122.67071431
-13665149.6513,4642362.9501,383,Active,Santa Rosa FS 41,LNU Santa Rosa FS,Station 41,FSB,LNU,LNU,Sonoma,STATE,B,P,2210 West College Ave,Santa Rosa,95401,707-576-2001,38.44416074,-122.75612792
-13610711.1177,4610555.3713,384,Active,Greenwood Ranch FS 27,LNU Greenwood Ranch FS,Station 27,FSAB,LNU,LNU,Napa,COUNTY,C,P,1555 Airport Rd,Napa,94558,707-253-6196,38.22006139,-122.26709825
-13772606.6234,4847972.1808,385,Active,Leggett FS,MEU Leggett FS,,FSB,MEU,MEU,Mendocino,STATE,B,P,"69310 N Hwy 101, Po Box 156",Leggett,95585,707-925-6414,39.87622192,-123.72143032
-13746424.2173,4822705.6413,386,Active,Laytonville FS,MEU Laytonville FS,,FSB,MEU,MEU,Mendocino,STATE,B,P,46101 N Hwy 101,Laytonville,95454,707-984-6777,39.70181448,-123.48622976
-13719862.8539,4837897.6084,387,Active,Covelo FS,MEU Covelo FS,,FSB,MEU,MEU,Mendocino,STATE,B,P,77251 Covelo Rd.,Covelo,95428,707-983-6499,39.8067331,-123.24762498
-13781958.1416,4786438.7298,388,Active,Fort Bragg FS,MEU Fort Bragg FS,,FSB,MEU,MEU,Mendocino,STATE,B,P,802 North Main Street,Fort Bragg,95437,707-964-5673,39.4507274,-123.80543644
-13775175.2705,4766778.3665,389,Active,Woodlands FS,MEU Woodlands FS,,FSB,MEU,MEU,Mendocino,STATE,B,P,41722 Little Lake Rd,Mendocino,95460,707-937-5765,39.31419424,-123.74450487
-13727921.4791,4771766.6593,390,Active,Howard Forest FS,MEU Howard Forest FS,,FSB,MEU,MEU,Mendocino,STATE,B,P,17501 N Hwy 101,Willits,95490,707-459-7413,39.34884653,-123.32001684
-13715694.4203,4748236.7894,391,Active,Ukiah FS,MEU Ukiah FS,,FSB,MEU,MEU,Mendocino,STATE,B,P,2690 N State Street,Ukiah,95482,707-462-7448,39.18520949,-123.2101793
-13770317.8535,4709525.2982,392,Active,Point Arena FS,MEU Point Arena FS,,FSB,MEU,MEU,Mendocino,STATE,B,P,"410 School Street, Po Box 134",Point Arena,95468,707-882-2151,38.91514844,-123.70086995
-13731426.5538,4719708.3052,393,Active,Boonville FS,MEU Boonville FS,,FSB,MEU,MEU,Mendocino,STATE,B,P,"16001 Hwy 128, Po box 464",Boonville,95415,707-895-3323,38.9862877,-123.35150346
-13705682.5876,4722085.4785,394,Active,Hopland FS,MEU Hopland FS,,FSB,MEU,MEU,Mendocino,STATE,B,P,"11000 S Hwy 101, Pobox 415",Hopland,95449,707-744-1111,39.00288452,-123.12024148
-13328181.9843,4491359.6842,395,Active,Ahwahnee FS,MMU AHWAHNEE,Ahwahnee,FSB,MMU,MMU,Madera,STATE,B,P,43033 Hwy 49 S,Ahwahnee,93601,559-683-4844,37.37394574,-119.72909586
-13325440.273,4474142.789,396,Active,Coarsegold FS,MMU COARSEGOLD,Coarsegold,FSB,MMU,MMU,Madera,STATE,B,P,34555 Hwy 41,Coarsegold,93614,559-683-4823,37.25093664,-119.70446665
-13310649.3899,4467415.5921,397,Active,Rancheria FS,MMU RANCHERIA,RANCH,FSB,MMU,MMU,Madera,STATE,B,P,53488 Road 200,O'Neals,93645,559-877-2322,37.20281834,-119.57159788
-13348060.6163,4467540.3258,398,Active,Raymond FS,MMU RAYMOND,Raymond,FSB,MMU,MMU,Madera,STATE,B,P,34951 Road 606,Raymond,93653,559-689-3332,37.20371084,-119.90766865
-13384919.4684,4510363.5265,399,Active,Hornitos FS,MMU HORNITOS,Hornitos,FSB,MMU,MMU,Mariposa,STATE,B,P,3004 Bear Valley Rd,Hornitos,95325,209-376-2323,37.50948819,-120.23877735
-13381037.605,4540457.6548,400,Active,Coulterville FS,MMU COULTERVILLE,Coulterville,FSB,MMU,MMU,Mariposa,STATE,B,P,10508 Hwy 49N,Coulterville,95311,209-878-3311,37.7236279,-120.20390598
-13372514.312,4496149.4523,401,Active,Catheys Valley FS,MMU CATHEYS VALLEY,Catheys Valley,FSB,MMU,MMU,Mariposa,STATE,B,P,2203 Hwy 140,Catheys Valley,95306,209-966-3413,37.4081313,-120.12733994
-13356789.4587,4509238.8044,402,Active,Mariposa FS,MMU MARIPOSA,Mariposa,FSB,MMU,MMU,Mariposa,STATE,B,P,5366 Hwy 49N,Mariposa,95338,209-966-3622,37.50147307,-119.98608118
-13334308.5618,4503888.1517,403,Active,Usona FS,MMU USONA,Usona,FSB,MMU,MMU,Mariposa,STATE,B,P,2629 Hwy 49 S,Mariposa,95338,209-742-7233,37.46333097,-119.78413184
-13475672.9777,4446858.11,404,Active,Los Banos FS,MMU LOS BANOS,Los Banos,FSB,MMU,MMU,Merced,STATE,B,P,31011 West Gonzaga Rd,Gustine,95322,209-826-4233,37.05558472,-121.05403
-13311671.6932,4481664.1126,405,Active,Bass Lake FS ,MMU BASS LAKE,Bass Lake,FSB,MMU,MMU,Madera,STATE,B,P,38333 Road 223,Oakhurst,93644,559-683-6700,37.30469879,-119.58078139
-12980848.7669,3842990.7365,406,Active,Potrero FS #31,MVU Potrero FS,Station #31,FSB,SDU,SDU,San Diego,STATE,B,P,"25130 Hwy 94, P.O. Box 92",Potrero,91963,619-478-5544,32.60499381,-116.60894848
-12965258.665,3846202.1725,407,Active,Campo FS #40,MVU Campo FS,Station #40,FSB,SDU,SDU,San Diego,STATE,B,P,31577 Highway 94,Campo,91906,619-478-5516,32.62929291,-116.46890021
-12999351.1413,3848007.6423,408,Active,Dulzura FS Station #30,MVU Dulzura FS,Station 30,FSB,SDU,SDU,San Diego,STATE,B,P,17304 Hwy 94,Dulzura,91917,619-468-3391,32.64295099,-116.77515814
-12998202.5728,3858779.1871,409,Active,Lyons Valley FS #32,MVU Lyons Valley FS,Station #32,FSB,SDU,SDU,San Diego,STATE,B,P,17759 Skyline Truck Trail,Jamul,91935,619-468-3435,32.72439248,-116.76484037
-13016210.7511,3862006.4163,410,Active,Monte Vista FS #20,MVU Monte Vista FS #20,San Diego Ranger Unit HQ / Station 20,FSB,SDU,SDU,San Diego,STATE,B,P,2245 Jamacha Rd,El Cajon,92019,619-590-3172,32.74877846,-116.92661059
-12948398.3836,3848621.2505,411,Temporarily Decommissioned,White Star FS #41,MVU White Star FS,Station #41,FSB,SDU,SDU,San Diego,STATE,B,P,"1684 Tierra Del Sol Rd, Rt 1,",Boulevard,91905,619-766-4533,32.64759233,-116.31744173
-13008499.7071,3876277.9771,412,Active,Flinn Springs FS #21,MVU Flinn Springs FS,Station #21,FSB,SDU,SDU,San Diego,STATE,B,P,9711 Flinn Springs Road,El Cajon,92021,619-443-7121,32.85653886,-116.8573411
-12978283.7335,3894398.8473,413,Active,Cuyamaca FS #51,MVU Cuyamaca FS #51,Station #51,FSB,SDU,SDU,San Diego,STATE,B,P,13650 Hwy 79,Julian,92036,760-765-0085,32.99317585,-116.58590639
-13019577.4711,3896414.2475,414,Active,Ramona FS #86,MVU Ramona FS #86,Ramona FFS,FSB,SDU,SDU,San Diego,STATE,B,P,16310 Hwy 67,Ramona,92065,760-789-1150,33.00835957,-116.95685435
-12995668.0785,3904457.6621,415,Active,Witch Creek FS #87,MVU Witch Creek FS,Station #87,FSB,SDU,SDU,San Diego,STATE,B,P,"27330 Hwy 78, Star Route Box 6",Ramona,92065,760-789-1448,33.06893132,-116.74207262
-12979043.7767,3905425.3812,416,Active,Julian FS #50,MVU Julian FS #50,Station 50,FSB,SDU,SDU,San Diego,STATE,C,P,"1587 Hwy 78, Borrego Star Rout",Julian,92036,760-7650511,33.07621601,-116.59273398
-13033873.691,3907279.7043,417,Active,Del Dios FS #77,MVU Del Dios FS,Station 77,FSB,SDU,SDU,San Diego,STATE,B,P,2323 Felicita Ave,Escondido,92029,760-735-9478,33.09017314,-117.08527948
-13025321.8803,3926696.5005,418,Active,Valley Center FS #71,MVU Valley Center FS,Station 71,FSB,SDU,SDU,San Diego,STATE,B,P,14946 Vesper Road,Valley Center,92082,760-749-1702,33.2361862,-117.00845726
-13039573.0178,3935106.8122,419,Active,Miller FS #15,MVU Miller FS #15,Station 15,FSB,SDU,SDU,San Diego,STATE,B,P,9127 W. Lilac Rd,Escondido,92028,760-728-8532,33.2993557,-117.1364774
-13020107.1815,3933648.1743,420,Active,Rincon FS #70,MVU Rincon FS,Station 70,FSB,SDU,SDU,San Diego,STATE,B,P,16971 Hwy 76,Pauma Valley,92061,760-742-3243,33.2884032,-116.96161282
-13044870.41,3947351.0757,421,Active,Red Mountain FS #10,MVU Red Mountain FS #10,Station 10,FSB,SDU,SDU,San Diego,STATE,B,P,3660 E Mission Rd,Fallbrook,92028,760-728-1323,33.39124009,-117.18406469
-13060077.2546,3952241.0687,422,Active,De Luz FS #16,MVU De Luz FS #16,Station 16,FSB,SDU,SDU,San Diego,STATE,B,P,39431 De Luz Rd,Fallbrook,92028,760-728-2422,33.42790887,-117.3206701
-13475558.4199,4712363.0713,423,Active,Auburn FS,CDF 10,Station 10,FSB,NEU,NEU,Placer,STATE,B,P,13760 Lincoln Way,Auburn,95603,530-889-0111,38.93498031,-121.05300091
-13448058.7633,4725077.8579,424,Active,Foresthill FS,CDF 11,Station 11,FSB,NEU,NEU,Placer,STATE,B,P,25150 Foresthill Road,Foresthill,95631,530-367-3111,39.02377086,-120.80596729
-13480076.9225,4727887.4892,425,Active,Higgins Corner FS,CDF 21,Station 21,FSB,NEU,NEU,Nevada,FIRE DISTRICT,B,P,10106 Combie Road,Auburn,95602,530-268-0844,39.04337623,-121.09359131
-13463912.7054,4734638.8487,426,Active,Colfax FS,CDF 30,Station 30,FSB,NEU,NEU,Placer,CITY,B,P,24020 Fowler Road,Colfax,95713,530-346-6776,39.09046433,-120.94838567
-13501862.2195,4750724.7032,427,Active,Smartville FS,CDF 40,Station 40,FSB,NEU,NEU,Yuba,STATE,B,P,8839 Hwy 20,Smartville,95977,530-639-2332,39.20253032,-121.28929196
-13472887.9739,4757355.5048,428,Active,Nevada City FS,CDF 20,Station 20,FSB,NEU,NEU,Nevada,STATE,B,P,10242 Ridge Road,Nevada City,95959,530-265-4589,39.24867342,-121.02901188
-13374563.9959,4767265.9807,429,Active,Truckee FS,CDF 50,Station 50,FSB,NEU,NEU,Nevada,STATE,B,P,10277 Truckee-Tahoe Airport Rd,Truckee,96161,530-582-9471,39.31758285,-120.14575256
-13515656.6843,4766679.5936,430,Active,Loma Rica FS,CDF 61,Station 61,FSB,NEU,NEU,Yuba,STATE,B,P,11485 Loma Rica Road,Marysville,95901,530-743-4477,39.31350757,-121.41320974
-13494223.7958,4776524.7242,431,Active,Dobbins FS,CDF 60,Station 60,FSB,NEU,NEU,Yuba,STATE,B,P,9946 Marysville Rd,Dobbins,95935,530-692-1616,39.38189955,-121.22067483
-13467284.6088,4776878.6198,432,Active,Columbia Hill FS,CDF 42,Station 42,FSB,NEU,NEU,Nevada,STATE,B,P,19076 Tyler-Foote Road,Nevada City,95959,530-265-2894,39.38435672,-120.978676
-13449068.4727,4750208.5654,433,Active,Alta FS,CDF 33,Station 33,FSB,NEU,NEU,Placer,STATE,B,P,33333 Alta Forestry Road,Alta,95701,530-389-2234,39.19893725,-120.81503766
-13367492.0092,4754294.4372,434,Active,Carnelian Bay FS,CDF 55,Station 55,FSB,NEU,NEU,Placer,FIRE DISTRICT,B,P,240 Carnelian Bay Ave,Carnelian Bay,96140,530-546-4685,39.22737544,-120.08222382
-13041111.0227,3961437.0612,435,Active,Temecula FS,RRU Temecula FS,,FSAB,RRU,RRU,Riverside,STATE,B,P,28330 Mercedes Street,Temecula,92591,951-676-2161,33.49682526,-117.15029354
-13017444.3201,3975848.924,436,Active,Sage FS,RRU Sage FS,,FSB,RRU,RRU,Riverside,STATE,B,P,35655 Sage Road,Hemet,92343,951-767-0118,33.60472,-116.93769193
-13049967.6183,4000244.1738,437,Active,Perris FS,RRU Perris FS,Riverside Ranger Unit,FSB,RRU,RRU,Riverside,STATE,B,P,210 W. San Jacinto St,Perris,92570,951-940-6970,33.78704821,-117.22985369
-13018784.4101,4019343.3513,438,Active,Beaumont FS,RRU Beaumont FS,,FSAB,RRU,RRU,Riverside,STATE,B,P,1550 E. 6Th Street,Beaumont,92223,951-845-2791,33.92952362,-116.94973016
-13074245.1036,4030408.7325,439,Active,West Riverside FS,RRU West Riverside FS,,FSAB,RRU,RRU,Riverside,STATE,B,P,7545 Mission Blvd,Riverside,92509,951-685-5260,34.01196,-117.44794205
-13565463.1474,4565233.8435,440,Active,Sunshine Fire Station 16,SCU Sunshine FS,Sunshine Fire Station,FSB,SCU,SCU,Contra Costa,STATE,B,P,11851 Marsh Creek Rd,Clayton,94517,925-672-6400,37.8994638,-121.86062881
-13526895.477,4540122.7432,441,Active,Castle Rock FS,SCU Castle Rock FS,Castle Rock Fire Station,FSB,SCU,SCU,San Joaquin,STATE,B,P,16502 Schulte Rd,Tracy,95376,209-835-8853,37.72124827,-121.51416954
-13487746.9063,4503999.3188,442,Active,Del Puerto Fire Station 15,SCU Del Puerto FS,Del Puerto Fire Station,FSB,SCU,SCU,Stanislaus,STATE,B,P,2142 Sperry Rd,Patterson,95363,209-892-5781,37.46412372,-121.16249194
-13524400.7354,4494612.3372,443,Active,Sweetwater Fire Station 25,SCU Sweetwater FS,Sweetwater Fire Station,FSB,SCU,SCU,Santa Clara,STATE,B,P,47625 Mines Road,Livermore,94550,408-897-3101,37.3971624,-121.49175889
-13544170.6854,4484177.2561,444,Active,Smith Creek Fire Station 12,SCU Smith Creek FS,Smith Creek Fire Station,FSB,SCU,SCU,Santa Clara,STATE,B,P,22805 Mt Hamilton Rd,San Jose,95140,408-274-0766,37.32265424,-121.66935537
-13589767.4756,4479242.0292,445,Active,Stevens Creek Fire Station 23,SCU Stevens Creek FS,Stevens Creek Fire Station,FSB,SCU,SCU,Santa Clara,STATE,B,P,13326 Stevens Canyon Rd,Cupertino,95014,408-867-3682,37.28739019,-122.07895831
